# SGY_fanqie: Database of Guangyun (廣韻) 3,874 Xiaoyun Representative Characters
#
# Version: 1.1.0
# Date: 6 June 2026
# Last modified: 16 July 2026
#
# Copyright (c) 2026 IKEDA Shoju (Professor Emeritus, Hokkaido University)
# Contact: ikeda.shoju@gmail.com
#
# Data License Information and Access Rights
# License:
# Creative Commons Attribution-ShareAlike 4.0 International License (CC BY-SA 4.0)
# Access Rights (Availability):
# Open access
#
# CSV Format information:
#
# hanzi                  Chinese character headword in Guangyun (廣韻の見出し字)
# hanzi_alt              Chinese character headword in Qieyun (切韻の見出し字)
# fanqie                 Fanqie in Guangyun (廣韻反切)
# fanqie_alt             Fanqie in Qieyun (切韻反切)
# entry_no               Serial entry number
# fanqie_note            Textual notes on differences among Qieyun系 documents (Qieyun, Wang I/II/III, Tangyun, Guangyun, etc.)
# volume_rhyme_yunmu_raw Volume, sequence number, and rhyme in Guangyun (廣韻の巻・序数・韻)
# volume_rhyme_yunmu     Volume, sequence number, and rhyme in Qieyun (切韻の巻・序数・韻)
# word_id                Location of the character in Guangyun (廣韻所在); corresponding ID in sbgy.xml (8-digit number excluding 'w' prefix)
# wuyun                  Traditional Five Tones classification (五音: 舌音, 唇音, etc.)
# qingzhuo               Fourfold classification of voicing (清濁: 全清, 次清, 全濁, 次濁)
# shengmu                Initial consonant (声母) based on the Thirty-Six Initials (三十六字母) system (Song Dynasty style)
# shengmu_deng           Initial consonant with division (等) number
#
# Features:
# This dataset features an independent initial consonant (声母) classification system
# separate from sbgy.xml and Guangyun.csv (see wuyun / qingzhuo / shengmu / shengmu_deng above).
# The 'fanqie_note' column enables comparative analysis with various Qieyun-lineage primary sources.
#
# Data Quality Notes:
# - The following columns present in earlier working versions of this file were derived
#   from non-original (third-party) data and have been removed as of this revision:
#   rhyme_num, tone_volume_code, rhyme_id, entry_index, entry_subindex,
#   she_kaihe_deng, fanqie_marked.
# - This dataset was compiled and revised intermittently over more than a decade.
#   During that process, a linking error caused misalignment in the 'fanqie_note'
#   column. The affected entries have been corrected to the extent currently possible,
#   but a full, systematic verification of 'fanqie_note' across the entire dataset
#   has not yet been completed. Users should treat 'fanqie_note' with corresponding
#   caution until this review is finished.
hanzi,hanzi_alt,fanqie,fanqie_alt,entry_no,fanqie_note,volume_rhyme_yunmu_raw,volume_rhyme_yunmu,word_id,wuyun,qingzhuo,shengmu,shengmu_deng
朕,朕,直稔,直稔,2033,切3  王1 王3 P3693 広,3:47:寑,3:44:寑,348b0405,舌音,全濁,澄,定3
坅,坅,丘甚,丘甚,2034,切3  王1 王3 P3693 広,3:47:寑,3:44:寑,348b0506,牙音,次清,溪,溪B
廩,廩,力稔,力稔,2035,切3  王1 王3 P3693 広,3:47:寑,3:44:寑,348b0601,半舌音,清濁,來,來3
罧,罧,斯甚,斯甚,2036,切3 王1 P3693 広 斯稟 王3,3:47:寑,3:44:寑,348b0702,齒音,全清,心,心4
䤐,䤐,子朕,子朕,2037,切3 P3693 広 子甚 王1 王3,3:47:寑,3:44:寑,348b0801,齒音,全清,精,精4
踸,踸,丑甚,禇甚,2038,切3  王1 王3 P3693 丑甚 広　,3:47:寑,3:44:寑,348b0704,舌音,次清,徹,透3
荏,荏,如甚,如甚,2039,切3  王1 王3 P3693 広　,3:47:寑,3:44:寑,348b0805,半齒音,清濁,日,日3
枕,枕,章荏,之稔,2040,切3  王1 王3 P3693 章荏 広　,3:47:寑,3:44:寑,348b1007,齒音,全清,照三,章3
沈,沈,式任,式稔,2041,切3  王1 王3 P3693 式荏 広　,3:47:寑,3:44:寑,349a0103,齒音,全清,審三,書3
甚,甚,常枕,植枕,2042,王1 P3693 損枕 切3 食枕 広,3:47:寑,3:44:寑,349a0601,齒音,全濁,禪,常3
葚,葚/椹,食荏,食稔,2043,#N/A,3:47:寑,3:44:寑,349a0505,齒音,全濁,牀三,船3
瀋,瀋,昌枕,尺甚,2044,切3  王1 王3 P3693 昌枕 広　,3:47:寑,3:44:寑,349a0603,齒音,次清,穿三,昌3
墋,墋,初朕,初朕,2045,切3  王1 王3 P3693醦  広　,3:47:寑,3:44:寑,349a0604,齒音,次清,穿二,初2
拰,拰,尼凜,尼甚,2046,切3 王1 P3693 居甚 王3 尼凜 広,3:47:寑,3:44:寑,349a0703,舌音,清濁,孃,泥3
噤,噤,渠飲,渠飲,2047,切3  王1 王3 P3693 広　,3:47:寑,3:44:寑,349a0704,牙音,全濁,羣,羣B
錦,錦,居飲,居飲,2048,切3  王1 王3 P3693 広　,3:47:寑,3:44:寑,349a0802,牙音,全清,見,見B
僸,僸,牛錦,牛錦,2049,切3  王1 王3 P3693 広　,3:47:寑,3:44:寑,349a0901,牙音,清濁,疑,疑B
蕈,蕈,慈荏,慈錦,2050,切3  王1 王3 P3693 〔〕錦 王1 慈荏 広　,3:47:寑,3:44:寑,349a0803,齒音,全濁,從,從4
㾕,㾕,踈錦,踈錦,2051,王1 王3 P3693 広 踈〔〕切3,3:47:寑,3:44:寑,349a0903,齒音,全清,審二,生2
稟,稟,筆錦,筆錦,2052,切3  王1 王3 P3693 広　,3:47:寑,3:44:寑,349a0906,,,幫,幫B
㱃,飲,於錦,於錦,2053,#N/A,3:47:寑,3:44:寑,349a1001,喉音,全清,影,影B
品,品,丕飲,丕飲,2054,P3693 広 披飲 王1 王3 披錦 切3,3:47:寑,3:44:寑,349a1004,唇音,次清,滂,滂B
𩒣,𩒣,欽錦,郷飲,2055,韻末に王3「郷飲反」広韻「欽錦切」あり,3:47:寑,3:44:寑,349b0204,,,,
廞,廞,許錦,虚錦,2056,切3 羲錦 王1 王3 許錦 広 ナシ P3693,3:47:寑,3:44:寑,349b0103,喉音,全清,曉,曉B
𩖄,𩖄,欽錦,仕⿸广參,2057,王1 王3 士㾕 広𩒣 ナシ 切3 P3693,3:47:寑,3:44:寑,349b0101,牙音,次清,溪,崇2
戡,㱽,張甚,張甚,2058,#N/A,3:47:寑,3:44:寑,349b0201,舌音,全清,知,端3
潭,潭,以荏,以荏,2059,広 ナシ 切3 王1 王3 P3693,3:47:寑,3:44:寑,349b0203,喉音,清濁,喩,羊4
琰,琰,以冉,以冉,2060,切3 王1 王2 王3 P3693 広/切3 王1 王2 王3 P2017 広,3:50:琰,3:45:琰,351a0601,喉音,清濁,喩,羊4
斂,斂,良冉,力冉,2061,切3  王1 王3 P3693 良冉 広　,3:50:琰,3:45:琰,351a0802,半舌音,清濁,來,來3
險,險,虚檢,虚檢,2062,王1 王3 P3693 広 虛撿 切3,3:50:琰,3:45:琰,351a1004,喉音,全清,曉,曉B
貶,貶,方斂,方冉,2063,切3  王1 王3 P3693 方斂 広　,3:50:琰,3:45:琰,351b0201,,,幫,幫B
𩑳,𩑳,丘檢,丘檢,2064,王1 王3 P3693 広 丘撿 切3,3:50:琰,3:45:琰,351b0204,牙音,次清,溪,溪B
顩,顩,魚檢,魚檢,2065,王3 P3693 広顩 魚[ ] 切3 魚儉 王1 ,3:50:琰,3:45:琰,351b0301,牙音,清濁,疑,疑B
儉,儉,巨險,巨險,2066,切3 王1 王3 P3693 広,3:50:琰,3:45:琰,351b0402,牙音,全濁,羣,羣B
檢,檢,居奄,居儼,2067,切3 王1 王3檢 P3693檢 居奄 広檢,3:50:琰,3:45:琰,351b0501,牙音,全清,見,見B
黶,黶,於琰,於琰,2068,切3  王1 王2 王3 P3693 広,3:50:琰,3:45:琰,351b0503,喉音,全清,影,影A
冉,冉,而琰,而琰,2069,切3  王1 王2 王3 広,3:50:琰,3:45:琰,351b0701,半齒音,清濁,日,日3
陝,陝,失冉,失冉,2070,切3  王1 王2 王3 P3693 広,3:50:琰,3:45:琰,351b0901,齒音,全清,審三,書3
諂,諂,丑琰,丑琰,2071,切3  王1 王2 王3 P3693 広,3:50:琰,3:45:琰,351b1007,舌音,次清,徹,透3
奄,奄,衣儉,應儉,2072,切3  王1 王2 王3 衣儉 広,3:50:琰,3:45:琰,352a0102,喉音,全清,影,影B
漸,漸,慈染,自染,2073,切3 王1 自琰 王2 自冉 王3 慈染 広,3:50:琰,3:45:琰,352a0404,齒音,全濁,從,從4
剡,剡,時染,時染,2074,広 ナシ 切3 王1 王3 ,3:50:琰,3:45:琰,352a0702,齒音,全濁,禪,常3
憸,憸,七漸,七漸,2075,王1 王2 王3 広 ナシ 切3,3:50:琰,3:45:琰,352a0605,齒音,次清,清,清4
𩟗,𩟗,子冉,子冉,2076,王1 王3 広 ナシ 切3,3:50:琰,3:45:琰,352a0607,齒音,全清,精,精4
脥,脥,謙琰,苦斂,2077,王1 王2 王3 謙琰 広 ナシ 切3,3:50:琰,3:45:琰,352a0701,牙音,次清,溪,溪A
颭,颭,占琰,占琰,2078,広 ナシ 切3 王1 王3 ,3:50:琰,3:45:琰,351b0203,齒音,全清,照三,章3
忝,忝,他玷,他玷,2079,切3 P3693 広 他點 王1 王2 王3／切3 王1 王2 王3 P2017 他點 広,3:51:忝,3:46:忝,352a0801,舌音,次清,透,透4
淰,淰,乃玷,乃簟,2080,切3 王1 王2 王3 P3693 乃玷 広,3:51:忝,3:46:忝,352a0901,舌音,清濁,泥,泥4
點,點,多忝,多忝,2081,切3 王1 王2 王3 P3693 広,3:51:忝,3:46:忝,352a0905,舌音,全清,端,端4
簟,簟,徒玷,徒玷,2082,切3  王1 王2 王3 P3693 広,3:51:忝,3:46:忝,352a1003,舌音,全濁,定,定4
嗛,嗛,苦簟,苦簟,2083,切3  王1 王2 王3 P3693 広,3:51:忝,3:46:忝,352b0102,牙音,次清,溪,溪4
稴,稴,力忝,盧忝,2084,切3 王1 王2 王3 力忝 広,3:51:忝,3:46:忝,352b0106,半舌音,清濁,來,來4
鼸,鼸,胡忝,下忝,2085,切3  王1 王3 下點 王2 胡忝 広,3:51:忝,3:46:忝,352b0203,喉音,全濁,匣,匣4
孂,孂,兼玷,居點,2086,王1 王2 王3 兼玷 広 ナシ 切3,3:51:忝,3:46:忝,352b0206,牙音,全清,見,見4
𡕢,𡕢,明忝,明忝,2087,王1 王2 王3 広 ナシ 切3,3:51:忝,3:46:忝,352b0301,唇音,清濁,明,明4
憯,憯,青忝,青忝,2088,広 ナシ 切3 王1 王2 王3,3:51:忝,3:46:忝,352b0205,齒音,次清,清,清4
拯,拯,（蒸上聲）,無反語取蒸之上聲,2089,切3  王1 王3 P3693/切3 王1 無韻取蒸之上韻 王3 無韻 王2 之殑 P2017 蒸上 広,3:42:拯,3:47:拯,344b0901,齒音,全清,照三,章3
庱,庱,丑拯,丑拯,2090,広 ナシ 切3 王1 王3 P3693 ,3:42:拯,3:47:拯,344b0906,舌音,次清,徹,透3
殑,殑,其拯,其拯,2091,広 ナシ 切3 王1 王3 P3693 ,3:42:拯,3:47:拯,344b1001,牙音,全濁,羣,羣B
㱡,㱡,色庱,色庱,2092,広 ナシ 切3 王1 王3 P3693 ,3:42:拯,3:47:拯,344b1002,齒音,全清,審二,生2
等,等,多肯,多肯,2093,切3 王3 P3693 広 狃,3:43:等,3:48:等,345a0101,舌音,全清,端,端1
倗,倗,普等,普等,2094,切3 王1 王3 広,3:43:等,3:48:等,345a0102,唇音,次清,滂,滂1
肯,肯,苦等,苦等,2095,切3 王1 王3 広,3:43:等,3:48:等,345a0201,牙音,次清,溪,溪1
能,能,奴等,奴等,2096,王1 広 ナシ 切3 王3,3:43:等,3:48:等,345a0203,舌音,清濁,泥,泥1
豏,豏,下斬,下斬,2097,切3 王1 王2 王3 広 下〔〕P3693/切3 王3 P2017 広,3:53:豏,3:49:豏,352b0601,牙音,全清,見,匣2
湛,湛,徒減,徒減,2098,切3  王1 王2 王3 P3693 広,3:53:豏,3:49:豏,352b0702,齒音,全濁,牀二,定2
㦿,㦿,苦減,苦減,2099,切3  王1 王2 王3 広,3:53:豏,3:49:豏,352b0801,半舌音,清濁,來,溪2
鹼,鹼,古斬,古斬,2100,王1 王2 減 王3 広鹼 苦斬 切3,3:53:豏,3:49:豏,352b0901,齒音,全清,照二,見2
瀺,瀺,士減,士減,2101,切3 王1 王2 王3 広,3:53:豏,3:49:豏,352b0905,齒音,次清,穿二,崇2
斬,斬,側減,阻減,2102,切3 王1 王2 側減 広,3:53:豏,3:49:豏,352b1004,齒音,全清,審二,莊2
䑎,䑎,初減,初減,2103,切3  王1 王2 王3 広,3:53:豏,3:49:豏,353a0101,喉音,全清,影,初2
臉,臉,力減,力減,2104,切3  王1 王2 王3 広,3:53:豏,3:49:豏,352b1002,喉音,全清,曉,來2
闞,闞,火斬,火斬,2105,切3  王1 王2 王3 広,3:53:豏,3:49:豏,353a0103,喉音,全清,曉,曉2
摻,摻,所斬,所斬,2106,切3  王1 王2 王3 P3693 広,3:53:豏,3:49:豏,353a0105,舌音,清濁,孃,生2
喊,喊,呼豏,呼豏,2107,広 子減 王1 王2 王3 ナシ 切3 P3693,3:53:豏,3:49:豏,353a0204,喉音,全濁,匣,曉2
𦊔,𦊔,女減,女減,2108,王1 王2 王3 広 ナシ 切3 P3693,3:53:豏,3:49:豏,353a0205,牙音,次清,溪,泥2
𠐩,𠐩,丑減,丑減,2109,王1 王2 王3 広 ナシ 切3 P3693,3:53:豏,3:49:豏,353a0303,齒音,全清,審二,透2
黯,黯,乙減,乙減,2110,広 ナシ 切3 王1 王2 王3 P3693 ,3:53:豏,3:49:豏,353a0203,舌音,次清,徹,影2
檻,檻,胡黤,胡黤,2111,切3 王1 王2 王3 広/切3 王2 王3 P2017 乎黯 広,3:54:檻,3:50:檻,353a0401,喉音,全清,影,匣2
䫡,䫡,丘檻,丘檻,2112,切3  王1 王2 広,3:54:檻,3:50:檻,353a0506,齒音,次清,穿二,溪2
㨻,㨻,山檻,山檻,2113,切3  王1 王2 王3 広,3:54:檻,3:50:檻,353a0601,喉音,全清,曉,生2
黤,黤,於檻,於檻,2114,切3  王1 王2 王3 広,3:54:檻,3:50:檻,353a0603,齒音,全濁,牀二,影2
醶,醶,初檻,初檻,2115,切3  王1 王2 王3 P3696-2 広,3:54:檻,3:50:檻,353a0605,半舌音,清濁,來,初2
㺖,㺖,荒檻,荒檻,2116,切3  王1 王2 広 〔〕檻  P3696-2 莫檻 王3,3:54:檻,3:50:檻,353a0701,牙音,次清,溪,曉2
巉,巉,仕檻,士檻,2117,王1 王2 王3 仕檻 広 ナシ 切3 P3696-2,3:54:檻,3:50:檻,353a0703,喉音,全清,影,崇2
儼,儼,魯掩,魯掩,2118,,3:52:儼,3:00:广,352b0401,喉音,全濁,匣,匣
,广,,虞埯,2119,#N/A,,3:00:广,,,,,疑3
欦,欦,丘广,丘广,2120,王1 王2 王3 広,3:52:儼,3:00:广,352b0503,舌音,全濁,定,定
,險,,希埯,2121,#N/A,,3:00:广,,,,,曉3
埯,埯,於广,於广,2122,広 虞广  王1 王3 應險 王2 奄,3:52:儼,3:00:广,352b0506,牙音,次清,溪,溪
,埯,,於广,2123,#N/A,,3:00:广,,,,,影3
,㪁,,丘广,2124,#N/A,,3:00:广,,,,,溪3
,檢,,居儼,2125,#N/A,,3:00:广,,,,,見3
,儉,,巨險,2126,#N/A,,3:00:广,,,,,羣3
,貶,,彼檢,2127,#N/A,,3:00:广,,,,,幫3
范,范,防錽,無反語取凡之上聲,2128,切3 P3696-2   符凵 王1 王2 王3 防鋄 広/切3 王2 符凵 王1 王3 防鋄 広,3:55:范,3:51:范,353a0801,唇音,全濁,奉,並3
凵,凵,丘犯,丘犯,2129,王1 王2 王3 丘犯 広 ナシ 切3 P3696-2,3:55:范,3:51:范,353b0102,牙音,次清,溪,溪3
鋄,〓,亡范,亡范,2130,#N/A,3:55:范,3:51:范,353a1001,唇音,清濁,微,明3
𦜒,𦜒,府犯,府犯,2131,広 ナシ 切3 王1 王2 王3 P3696-2,3:55:范,3:51:范,353b0101,唇音,全清,非,幫3
釩,釩,峯犯,峯犯,2132,広 ナシ 切3 王1 王2 王3 P3696-2,3:55:范,3:51:范,353b0104,唇音,次清,敷,滂3
𠑆,𠑆,丑犯,丑犯,2133,広 ナシ 切3 王1 王2 王3 P3696-2,3:55:范,3:51:范,353b0105,舌音,次清,徹,透3
送,送,蘇弄,蘇弄,2134,王1 王2 王3 P3696-2 広/王1 王3 P2017 P3696-2 広,4:1:送,4:01:送,402b0201,齒音,全清,心,心1
鳳,鳳,馮貢,馮貢,2135,王1 王2 王3 P3696-2 広 〔〕貢 TV70+71,4:1:送,4:01:送,402b0204,唇音,全濁,奉,並3
貢,貢,古送,古送,2136,王1 王2 王3 P3696-2 TV70+71 広,4:1:送,4:01:送,402b0402,牙音,全清,見,見1
弄,弄,盧貢,盧貢,2137,王1 王2 王3 P3696-2 広 ,4:1:送,4:01:送,402b0604,半舌音,清濁,來,來1
涷,涷,多貢,多貢,2138,王2 凍 王3 P3696-2 広 〔〕貢 王1,4:1:送,4:01:送,402b0705,舌音,全清,端,端1
控,控,苦貢,苦貢,2139,王1 王2 王3 P3696-2 広 ,4:1:送,4:01:送,402b0901,牙音,次清,溪,溪1
糉,糉,作弄,作弄,2140,王1 王2 王3 P3696-2 TV70+71 広,4:1:送,4:01:送,402b1001,齒音,全清,精,精1
瓮,甕,烏貢,烏貢,2141,#N/A,4:1:送,4:01:送,403a0102,喉音,全清,影,影1
𧩪,⿰言忩,千弄,千弄,2142,#N/A,4:1:送,4:01:送,403a0107,齒音,次清,清,清1
洞,洞,徒弄,徒弄,2143,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403a0202,舌音,全濁,定,定1
痛,痛,他貢,他弄,2144,王2 王3 P3696-2 他貢 広 ,4:1:送,4:01:送,403a0403,舌音,次清,透,透1
仲,仲,直衆,直衆,2145,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403a0404,舌音,全濁,澄,定3
諷,諷,方鳳,方鳳,2146,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403a0603,唇音,全清,非,幫3
焪,焪,去仲,去諷,2147,王2 王3 P3696-2 去仲 広 ,4:1:送,4:01:送,403a0605,牙音,次清,溪,溪3
㝱,夢,莫鳳,莫鳳,2148,#N/A,4:1:送,4:01:送,403a0702,唇音,清濁,明,明3
𧽒,𧽒,香仲,香仲,2149,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403a0905,喉音,全清,曉,曉3
𢄐,幪,莫弄,莫弄,2150,#N/A,4:1:送,4:01:送,403a1002,唇音,清濁,明,明1
賵,賵,撫鳳,撫諷,2151,王2 P3696-2 孚鳳 王3 撫鳳 広,4:1:送,4:01:送,403a1006,唇音,次清,敷,滂3
趥,趥,子仲,千仲,2152,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403a1005,齒音,全清,精,精4
中,中,陟仲,陟仲,2153,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403b0104,舌音,全清,知,端3
哄,哄,胡貢,胡貢,2154,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403b0106,喉音,全濁,匣,匣1
齈,齈,奴凍,奴凍,2155,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403b0205,舌音,清濁,泥,泥1
衆,衆,之仲,之仲,2156,王2 王3 P3696-2 広 ,4:1:送,4:01:送,403b0301,齒音,全清,照三,章3
銃,銃,充仲,充仲,2157,王2 王3 広 ナシ P3696-2 ,4:1:送,4:01:送,403b0302,齒音,次清,穿三,昌3
㓽,㓽,仕仲,仕仲,2158,王2  広 士仲 王3 ナシ P3696-2 ,4:1:送,4:01:送,403b0303,齒音,全濁,牀二,崇2
烘,戇,呼貢,呼貢,2159,#N/A,4:1:送,4:01:送,403b0304,喉音,全清,曉,曉1
𣀒,𣀒,徂送,徂送,2160,広 ナシ  王2 王3 P3696-2,4:1:送,4:01:送,403b0102,齒音,全濁,從,從1
宋,宋,蘇統,蘇統,2161,王2 王3 P3696-2 広/王1 王2 王3 P2017 P3696-2 広,4:2:宋,4:02:宋,403b0501,齒音,全清,心,心1
綜,綜,子宋,子宋,2162,王2 王3 広,4:2:宋,4:02:宋,403b0601,齒音,全清,精,精1
統,統,他綜,他宋,2163,王2 王3 他綜 広,4:2:宋,4:02:宋,403b0703,舌音,次清,透,透1
雺,雺,莫綜,莫綜,2164,王3 広 ナシ 王2 P3696-2,4:2:宋,4:02:宋,403b0705,唇音,清濁,明,明1
䃔,䃔,乎宋,乎宋,2165,広 丘中 王3 ナシ 王2 P3696-2,4:2:宋,4:02:宋,403b0706,喉音,全濁,匣,匣1
用,用,余頌,余共,2166,王2 王3 P3696-2 余頌 広/王1 王3 P2017 P3696-2 広,4:3:用,4:03:用,403b0801,喉音,清濁,喩,羊4
頌,頌,似用,似用,2167,王2 王3 P3696-2 広 ,4:3:用,4:03:用,403b0802,齒音,全濁,邪,邪4
俸,俸,扶用,房用,2168,王2 王3 P3696-2 扶用 広 ,4:3:用,4:03:用,403b0904,唇音,全濁,奉,並3
共,共,渠用,渠用,2169,王2 王3 P3696-2 広 ,4:3:用,4:03:用,403b1002,牙音,全濁,羣,羣3
葑,葑,方用,方用,2170,王2 王3 P3696-2 広 ,4:3:用,4:03:用,403b1003,唇音,全清,非,幫3
供,供,居用,居用,2171,王2 王3 広,4:3:用,4:03:用,404a0101,牙音,全清,見,見3
雍,雍,於用,於用,2172,王2 王3 P3696-2 広 ,4:3:用,4:03:用,404a0103,喉音,全清,影,影3
縱,縱,子用,子用,2173,王2 王3 P3696-2 広 ,4:3:用,4:03:用,404a0302,齒音,全清,精,精4
湩,湩,竹用,竹用,2174,王2 王3 P3696-2 広 ,4:3:用,4:03:用,404a0203,舌音,全清,知,端3
蹱,儱,丑用,他用,2175,#N/A,4:3:用,4:03:用,404a0304,舌音,次清,徹,透3
䩸,䩸,而用,而用,2176,王2 王3 P3696-2 広 ,4:3:用,4:03:用,404a0401,半齒音,清濁,日,日3
種,種,之用,之用,2177,王2 王3 P3696-2 広 ,4:3:用,4:03:用,404a0404,齒音,全清,照三,章3
重,重,柱用,治用,2178,王2 P3696-2 持用 王3 柱用 広,4:3:用,4:03:用,404a0501,舌音,全濁,澄,定3
贚,贚,良用,良用,2179,王2 王3 広,4:3:用,4:03:用,404a0504,半舌音,清濁,來,來3
恐,恐,區用,區用,2180,王3 広 ナシ 王2 P3696-2,4:3:用,4:03:用,404a0507,牙音,次清,溪,溪3
從,從,疾用,疾用,2181,広 從用 王3 ナシ 王2 P3696-2,4:3:用,4:03:用,404a0603,齒音,全濁,從,從4
𢫨,𢫨,穠用,穠用,2182,広 ナシ  王2 王3 P3696-2,4:3:用,4:03:用,404a0604,舌音,清濁,孃,泥3
絳,絳,古巷,古巷,2183,王2 王3 P3696-2 広/王1 王2 王3 P3696-2 広  古〔〕P2017,4:4:絳,4:04:絳,404a0701,牙音,全清,見,見2
巷,巷,胡絳,胡降,2184,王2 王3 P3696-2 胡絳 広 ,4:4:絳,4:04:絳,404a0805,喉音,全濁,匣,匣2
戇,戇,陟降,丁降,2185,王2 王3 P3696-2 陟降 広 ,4:4:絳,4:04:絳,404a0903,舌音,全清,知,端3
漴,漴,士絳,士降,2186,王2 P3696-2 士巷 王3 士絳 広,4:4:絳,4:04:絳,404b0102,齒音,全濁,牀二,崇2
䡴,䡴,直絳,直降,2187,王2 王3 P3696-2 直絳 広,4:4:絳,4:04:絳,404a0904,舌音,全濁,澄,定2
𥈄,𥈄,丑絳,丑降,2188,王2 丑絳 広,4:4:絳,4:04:絳,404a1006,舌音,次清,徹,透2
肨,肨,匹絳,匹降,2189,王2 普降 王3 匹絳 広,4:4:絳,4:04:絳,404b0103,唇音,次清,滂,滂2
䎫,䎫,楚絳,叉降,2190,王3 楚絳 広 ナシ 王2,4:4:絳,4:04:絳,404b0104,齒音,次清,穿二,初2
淙,淙,色絳,色絳,2191,広 ナシ 王2 王3,4:4:絳,4:04:絳,404b0105,齒音,全清,審二,生2
寘,寘,支義,支義,2192,王2 王3 P3696-2 広／王1 王2 王3 之義 P2017 支豉 広,4:5:寘,4:05:寘,404b0301,齒音,全清,照三,章開3
避,避,毗義,婢義,2193,王2 王3 P3696-2 毗義 広 ,4:5:寘,4:05:寘,404b0405,唇音,全濁,並,並A
惴,惴,之睡,之睡,2194,王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,404b0406,齒音,全清,照三,章合3
詈,詈,力智,力智,2195,王2 王3 広,4:5:寘,4:05:寘,404b0501,半舌音,清濁,來,來開3
豉,豉,是義,是義,2196,王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,404b0603,齒音,全濁,禪,常開3
積,積,子智,紫智,2197,王2 王3 P3696-2 子智 広 ,4:5:寘,4:05:寘,404b0703,齒音,全清,精,精開4
賜,賜,斯義,斯義,2198,王1 王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,404b0802,齒音,全清,心,心開4
爲,爲,于僞,榮僞,2199,王2 王3 榮〔〕P3696-2 于偽 広 ,4:5:寘,4:05:寘,404b0903,喉音,清濁,于,于合B
䞈,䞈,詭僞,詭僞,2200,王2 王3 広,4:5:寘,4:05:寘,404b0904,牙音,全清,見,見合B
帔,帔,披義,披義,2201,王2 王3 広 〔〕義 P3696-2,4:5:寘,4:05:寘,404b1004,唇音,次清,滂,滂B
賁,賁,彼義,彼義,2202,王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,404b1007,,,幫,幫B
髲,髲,平義,皮義,2203,王2 王3 P3696-2 平義 広 ,4:5:寘,4:05:寘,405a0203,唇音,全濁,並,並B
累,累,良僞,羸僞,2204,王1 王2 王3 P3696-2 良偽 広 ,4:5:寘,4:05:寘,405a0401,半舌音,清濁,來,來合3
寄,寄,居義,居義,2205,王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405a0402,牙音,全清,見,見開B
臂,臂,卑義,卑義,2206,王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405a0405,,,幫,幫A
芰,芰,奇寄,奇寄,2207,王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405a0501,牙音,全濁,羣,羣開B
刺,刺,七賜,七賜,2208,王2 王3 P3696-2 七賜 広 ,4:5:寘,4:05:寘,405a0603,齒音,次清,清,清開4
易,易,以豉,以豉,2209,王1 王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405a0805,喉音,清濁,喩,羊開4
議,議,宜寄,宜寄,2210,王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405a1002,牙音,清濁,疑,疑開B
譬,譬,匹賜,匹義,2211,王1 王2 王3 P3696-2 匹賜 広 ,4:5:寘,4:05:寘,405b0102,唇音,次清,滂,滂A
漬,漬,疾智,在智,2212,王2 王3 P3696-2 〔〕知 王1 疾智 広 ,4:5:寘,4:05:寘,405b0202,齒音,全濁,從,從開4
智,智,知義,知義,2213,王1 王2 P3696-2 広 智義 王3,4:5:寘,4:05:寘,405b0305,舌音,全清,知,端開3
倚,倚,於義,於義,2214,王1 王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405b0403,喉音,全清,影,影開B
縋,縋,馳僞,馳僞,2215,王2 P3696-2 広 池累 王3,4:5:寘,4:05:寘,405b0406,舌音,全濁,澄,定合3
吹,吹,尺僞,尺僞,2216,王1 王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405b0601,齒音,次清,穿三,昌合3
戲,戲,香義,羲義,2217,王1 王2 王3 P3696-2 香義 広 ,4:5:寘,4:05:寘,405b0604,喉音,全清,曉,曉開B
企,企,去智,去智,2218,王2 王3 P3696-2 広 去知 王1 ,4:5:寘,4:05:寘,405b0702,牙音,次清,溪,溪開A
縊,縊,於賜,於賜,2219,王1 王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405b0803,喉音,全清,影,影開A
翅,翅,施智,施智,2220,王1 王2 王3 P3696-2 広 ,4:5:寘,4:05:寘,405b0901,齒音,全清,審三,書開3
屣,屣,所寄,所寄,2221,王1 王2 王3 広 ,4:5:寘,4:05:寘,406a0104,齒音,全清,審二,生開2
